"district";"turnout";"voters_total";"KPRF";"ER";"LDPR";"KPKR";"SR";"KPSS";"GP";"PR";"Rodina";"rural"
1;0,60767662371083;29900;6799;18023;2446;1367;592;295;85;157;136;1
2;0,521930373149885;24052;6119;12127;2810;1474;751;365;85;169;152;1
3;0,444316150178784;23117;5577;11484;2827;1656;823;320;116;158;156;1
4;0,596754464649759;27955;6347;15201;2802;1915;712;430;130;234;184;1
5;0,523916338284329;25039;7133;12453;2918;1249;473;354;146;209;104;1
6;0,472947701038241;28322;9602;10579;3893;2217;893;417;216;295;210;1
7;0,436858953420004;26000;8744;9974;3399;2020;815;379;243;231;195;1
8;0,429746264166082;24889;11074;7964;2886;1231;938;360;160;136;140;1
9;0,364316082685823;21434;12391;3959;2700;698;981;254;239;126;86;0
10;0,330775975449364;17718;7702;3907;3294;1220;1013;165;128;197;92;0
11;0,323309064049805;17978;8513;3558;3135;1158;1084;181;160;117;72;0
12;0,310431302801245;16943;7457;3904;2944;1042;879;266;218;135;98;0
13;0,328152352660336;18029;7801;4600;3076;972;935;182;236;131;96;0
14;0,371809936474131;19583;8601;4837;3060;1035;1187;199;349;181;134;0
15;0,312880268446477;16467;7991;3168;2823;1122;807;197;163;107;89;0
16;0,331951957458513;17520;7842;3990;3087;974;990;224;194;128;91;0
17;0,314867624278271;17323;8249;3353;2968;974;1147;183;208;129;112;0
18;0,310355632147893;19260;8548;4185;3524;1252;1078;218;171;167;117;0
