Округ,Явка,Партия,Доля,Метка,Система
1,"0,60767662371083",ЕР,"0,602775919732441",село,пропорциональная
2,"0,521930373149885",ЕР,"0,504199234990853",село,пропорциональная
3,"0,444316150178784",ЕР,"0,496777263485746",село,пропорциональная
4,"0,596754464649759",ЕР,"0,543766768020032",село,пропорциональная
5,"0,523916338284329",ЕР,"0,497344143136707",село,пропорциональная
6,"0,472947701038241",ЕР,"0,373525880940612",село,пропорциональная
7,"0,436858953420004",ЕР,"0,383615384615385",село,пропорциональная
8,"0,429746264166082",ЕР,"0,444935513680743",село,пропорциональная
9,"0,364316082685823",КПРФ,"0,578100214612298",город,пропорциональная
10,"0,330775975449364",КПРФ,"0,43469917597923",город,пропорциональная
11,"0,323309064049805",КПРФ,"0,473523195016131",город,пропорциональная
12,"0,310431302801245",КПРФ,"0,440122764563537",город,пропорциональная
13,"0,328152352660336",КПРФ,"0,432691774363525",город,пропорциональная
14,"0,371809936474131",КПРФ,"0,43920747587193",город,пропорциональная
15,"0,312880268446477",КПРФ,"0,485273577457946",город,пропорциональная
16,"0,331951957458513",КПРФ,"0,447602739726027",город,пропорциональная
17,"0,314867624278271",КПРФ,"0,476187727298967",город,пропорциональная
18,"0,310355632147893",КПРФ,"0,443821391484943",город,пропорциональная
1,"0,60767662371083",ЕР,"0,647978094633853",село,мажоритарная
2,"0,521930373149885",ЕР,"0,598599428168897",село,мажоритарная
3,"0,444316150178784",ЕР,"0,589616488390295",село,мажоритарная
4,"0,596754464649759",ЕР,"0,678395370436522",село,мажоритарная
5,"0,523916338284329",ЕР,"0,589885596474916",село,мажоритарная
6,"0,472947701038241",ЕР,"0,455240681842547",село,мажоритарная
7,"0,436858953420004",ЕР,"0,43147646527696",село,мажоритарная
8,"0,429746264166082",ЕР,"0,356735931800484",село,мажоритарная
9,"0,364316082685823",КПРФ,"0,471650346310007",город,мажоритарная
10,"0,330775975449364",ЛДПР,"0,320090046239961",город,мажоритарная
11,"0,323309064049805",КПРФ,"0,408136482939633",город,мажоритарная
12,"0,310431302801245",КПРФ,"0,379730478124423",город,мажоритарная
13,"0,328152352660336",ЛДПР,"0,365299373812707",город,мажоритарная
14,"0,371809936474131",ЕР,"0,379734502496651",город,мажоритарная
15,"0,312880268446477",КПРФ,"0,458890290037831",город,мажоритарная
16,"0,331951957458513",ЕР,"0,349151326798948",город,мажоритарная
17,"0,314867624278271",КПРФ,"0,402603550295858",город,мажоритарная
18,"0,310355632147893",КПРФ,"0,384606890459364",город,мажоритарная
